local_memory,exe
500,1357.039
1000,1341.841
1500,1334.745
2000,776.102
2500,232.429
3000,235.308
3500,180.176
4000,163.013
4500,226.220
5000,183.924
5500,161.116
6000,163.102
6500,156.880
7000,161.319
7500,191.089
8000,26.364
