local_memory,exe
100,24.852
150,25.778
200,26.459
250,27.959
300,27.043
350,28.022
400,25.122
450,33.758
500,26.181
550,43.348
600,33.848
650,24.607
700,26.851
750,22.878
800,21.228
850,20.320
900,18.005
950,0.372
1000,0.360
