local_memory,exe
400,23.431
800,23.541
1200,24.789
1600,24.235
2000,23.624
2400,24.048
2800,24.217
3200,24.567
3600,24.513
4000,24.910
4400,25.489
4800,25.257
5200,25.134
5600,25.912
6000,25.863
6400,26.200
6800,26.154
7200,26.276
7600,26.593
8000,23.968
