local_memory,exe
500,1147.139
1000,474.396
1500,15.266
2000,14.112
2500,13.765
3000,13.793
3500,13.729
4000,13.547
4500,13.641
5000,13.665
5500,13.514
6000,9.336
6500,9.697
7000,9.511
7500,9.486
8000,9.407
8500,9.491
9000,10.989
9500,9.486
10000,9.721
